scale id,author,year,scale name,key notes,related scales,instrument focused,focus if not instrumental,external validity,which external validity,note on validity,theoretical framework,facets of motivation,response categories,variance in score (y/n),ceiling/floor effect,internal consistency measure,internal consistency estimate,note on reliability,skills required,populations disadvantaged,note on inclusivity,duration,items,expansion/reduction,scale efficiency,sample mean,sample range,sample grade,sample ages applied,country of study,sample population,attributes of sample,sample size,additional notes on sample,measures interest (y/n),measures intrinsic motivation (y/n),measures extrinsic motivation (y/n),evaluation notes,type of measure,child interview (y/n),questionnaire (y/n),self-report (y/n),parent report (y/n),teacher-report (y/n),child-and parent-report (y/n),child report: individual or group testing,available for research use,available materials 
403bi,"Comeau, G.; Huta, V.; Lu, Y.; Swirp, M.",2019,Untitled,Self-report on seeking to play beyond practice sessions,NA,yes,NA,yes,other measures: MLM,correlations with each of the MLM subscales,NA,autonomy; active engagement/involvement,7-point likert (not at all like me- perfectly like me),"yes: M=4.26, SD=1.42",no,cronbach's alpha,a=0.76,NA,language skills and instrument training,young readers; dyslexia; those who don’t have access to instrument learning,NA,5m,5,yes,NA,10.85y (piano); 10.40y (violin),8 to 17y (piano); 4 to 16y (violin),NR,"4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17",Canada,TD,piano and violin students (music lessons for at least .5 years),337,270 piano students vs violin 80,no,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,both,no,yes: in paper
435a,"Qi, W.; Dong, X.; Xue, X.",2021,Piano Learning Questionniare,"Self-report on attitudes towards music lessons, music lessons and music teachers.  Aiming to assess 'Pygmalion effect': when a person recieves encouragement praise and expectations from others, self-confidence is enhanced.",NA,yes,NA,yes,predictive: measure piano learning attitudes pre and post intervention in intervention vs control groups,greater positive change demonstrated in attitude towards piano learning pre- post in intervention group vs control,NA,external regulation,5-point agreement scale,NR,NR,cronbach's alpha for full measure,a>.8 (full measure),KMO also reported: .85,language skills and instrument learners,no access to instrument teaching,NA,6m,NR,no,estimated 8 items based on 1 of 5 parts with 40 items in total,NR,6 to 11y,"grades 2, 4 and 6","7,8,9,10,11,12",China,TD,NA,124,children taking piano lessons,yes,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,no,no
435b,"Qi, W.; Dong, X.; Xue, X.",2021,Piano Learning Questionniare,"Self-report on self-efficacy, self-concept and self-esteem. Aiming to assess 'Pygmalion effect': when a person recieves encouragement praise and expectations from others, self-confidence is enhanced.",NA,yes,NA,yes,other measures: enthusiasm for piano learning,increased self-efficacy shown to positively effect enthusiasm for piano learning,NA,"self-efficacy, self-concept of ability, self-esteem",5-point agreement scale,NR,NR,cronbach's alpha for full measure,a>.8 (full measure),KMO also reported: .85,language skills and instrument learners,no access to instrument teaching,NA,6m,NR,no,estimated 8 items based on 1 of 5 parts with 40 items in total,NR,6 to 11y,"grades 2, 4 and 6","7,8,9,10,11,12",China,TD,NA,124,children taking piano lessons,no,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,no,no
402a,"Simpkins, S. D.; Vest, A. E.; Becnel, J. N.",2010,Untitled,Self-concept of ability' subscale (self-report) : motivational beliefs measured as a predictor of participation in activity,NA,yes,NA,yes,other measures: measured self-concept as a predictor of continued participation in activities- significant mediation effect on participated vs never,predictive validity,"Expectancy-Value theory (Wigfield & Eccles, 2000) and Interest theory (Hidi & Renninger, 2006)",self-concept of ability,7-point likert (not at all good-very good),"yes: M=4.3, SD=1.71",no,cronbach's alpha,"a=.74 (wave 2), .94 (wave 5)",NA,instrument training,no instrumental training,NA,3m,4,yes,would recommend expansion to include items not specific to playing an instrument,8.72y,SD=1.25,"kindergarten, 1, 3",NR,US,TD,largely middle class,567,longitudinal data so age groups changed over the study,no,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,unclear,yes: in paper under measures: Self-concept of abilityes
402b,"Simpkins, S. D.; Vest, A. E.; Becnel, J. N.",2010,Untitled,Interest subscale (self-report): motivational beliefs measured as a predictor of participation in activity.,"1451a, 1451b & 1451d",yes,NA,yes,other measures: measured interest as a mediator of continued participation in activities…significant effect with interest as a mediator between overall participating vs never having participated ,predictive validity,"Expectancy-Value theory (Wigfield & Eccles, 2000) and reciprocal effects model (Marsh et al., 2007)",intrinsic value; interest,"7-point likert: 1 item interest (very boring-very interesting), 1 item liking (a little-a lot)","yes: M=4.56, SD=1.94",no,cronbach's alpha,"a=.83 (wave 2), .95 (wave 5)",NA,instrument training,no instrumental training,NA,1m,2,yes,would recommend expansion to include items not specific to playing an instrument,8.72y,SD=1.25,"kindergarten, 1, 3",NR,US,TD,NA,567,longitudinal data so age groups changed over the study,yes,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,unclear,yes: in paper under measures: interest
437a,"Roden, I.; Friedrich, E. K.; Etzler, S.; Frankenberg, E.; Kreutz, G.; Bongard, S.",2021,Emotions while learning a musical instrument scale (ELIS),Positive Emotions while Learning an Instrument (PELI) subscale (self-report),NA,yes,NA,yes,"significantly correlated with subscales of other measures: shortened versions of the 'Questionnaire for measurement of stress and coping in children and adolescenets' (SSKJ 3-8) and 'positive and negative affect schedule' (PANAS) scales, specifically: social support (r=.21-24), problem-oriented coping (r=.3-.31), musical emotion regulation (r=.42-.45)",NA,NA,emotions,5-point likert (not at all true-completely true),"yes: M= 2-3.5, SD=.97-1.5",no,cronbach's alpha and test-retest,"a= .85; test retest at 6 months: .56; 12 months: .33, 18 months: .17",test retest fairly strong considering long time span and young population,language skills,young readers; dyslexia,"to ease comprehension,response options were visualised using baloon options of increasing size",6m,8,no,factorial structure validated,"8.53y (time point 1), 9.18y (time point 2)",6 to 11y,grades 2 to 4,"6,7,8,9,10,11,12",Germany,TD,60-70% attended a school programme enhancing musical or maths/science skills,352,"N=352 completed the tasks at all three time points, sample started at N=544",no,yes,yes,NA,child questionnaire,no,yes,yes,no,no,no,group,yes,"yes: all items before reduction in paper in english, see table 2 plus notes to indicate which are included in questionnaire, in german in attached document"
437b,"Roden, I.; Friedrich, E. K.; Etzler, S.; Frankenberg, E.; Kreutz, G.; Bongard, S.",2021,Emotions while learning a musical instrument (ELIS),Negative Emotions while Learning an Instrument (NELI) subscale (self-report),NA,yes,NA,yes,"significantly correlated with subscales of other measures: shortened versions of the 'Questionnaire for measurement of stress and coping in children and adolescenets' (SSKJ 3-8) and 'positive and negative affect schedule' (PANAS) scales, specifically: constructive palliative coping (r=.2), destructive anger-oriented coping (r=.34), use of media (r=.20) and psychological symptoms of stress (r=.23)",NA,NA,emotions,5-point likert (not at all true-completely true),"yes: M=.37-1.09, SD=.93-1.42",no,cronbach's alpha and test-retest,"a=.78; test retest at 6 months: .42, at 12 months: .21, at 18 months= .11",test retest fairly strong considering long time span and young population,language skills,young readers; dyslexia,"to ease comprehension,response options were visualised using baloon options of increasing size",5m,7,no,factorial structure validated,"8.53y (time point 1), 9.18y (time point 2)",7 to 11y,grades 2 to 4,"6,7,8,9,10,11,12",Germany,TD,60-70% attended a school programme enhancing musical or maths/science skills,352,"N=352 completed the tasks at all three time points, sample started at N=544",no,yes,yes,NA,child questionnaire,no,yes,yes,no,no,no,group,yes,"yes: all items before reduction in paper in english, see table 2 plus notes to indicate which are included in questionnaire, in german in attached document"
1447a,"Bullerjahn, C.; Dziewas, J.; Hilsdorf, M.; Kassl, C.; Menze, J.; Gembris, H.",2020,Untitled,Incentive subscale (self-report): measures incentive when practicing,NA,yes,NA,yes,other measures: amount of practice and contest category (e.g. classical solo vs ensemble categories); construct validity assessed using factor analysis,NA,"Motive-Disposition Theory (McClelland, 1985)",instrumental practice,5-point agreement scale,NR,no,cronbach's alpha,"a=.63(fear factor), a=.66 (hope for affiliation factor)",NA,language skills,young readers; dyslexia,designed for older children: only n=25 participants were under 12 (due to research focus on competition that was aimed at 12+),8m,12,yes,factor analysis indicates 2 items could be lost,15.08y,9 to 24y,NR,NR,NR,TD,taking part in a music contest: 'Jugend Musiziert',1143,only 25 were <12 years of age,no,no,yes,NA,child questionnaire,no,yes,yes,no,no,no,group,unclear,yes: in paper table 3
1447c,"Bullerjahn, C.; Dziewas, J.; Hilsdorf, M.; Kassl, C.; Menze, J.; Gembris, H.",2020,Untitled,Volition subscale (self-report): measures volition when practicing,NA,yes,NA,no,other measures: amount of practice and contest category (e.g. classical solo vs ensemble categories); construct validity assessed using factor analysis,NA,"Motive-Disposition Theory (McClelland, 1985)",volition,5-point agreement scale,NR,no,cronbach's alpha,"a=.43(social focus factor), a=.61 (perseverance factor)",NA,language skills,young readers; dyslexia,designed for older children: only n=25 participants were under 12 (due to research focus on competition that was aimed at 12+),5m,8,yes,factor analysis supports number of items,15.08y,10 to 24y,NR,NR,NR,TD,taking part in a music contest: 'Jugend Musiziert',1143,only 25 were <12 years of age,no,yes,yes,NA,child questionnaire,no,yes,yes,no,no,no,group,unclear,yes: in paper table 5
1447b,"Bullerjahn, C.; Dziewas, J.; Hilsdorf, M.; Kassl, C.; Menze, J.; Gembris, H.",2020,Untitled,Flow subscale (self-report): measures flow when practicing,NA,yes,NA,no,other measures: amount of practice and contest category (e.g. classical solo vs ensemble categories); construct validity assessed using factor analysis,NA,"Motive-Disposition Theory (McClelland, 1985)",flow,5-point agreement scale,NR,no,cronbach's alpha,"a=.55(concern factor), a=.74 (general flow factor)",NA,language skills,young readers; dyslexia,designed for older children: only n=25 participants were under 12 (due to research focus on competition that was aimed at 12+),5m,9,yes,factor analysis supports number of items,15.08y,11 to 24y,NR,NR,NR,TD,taking part in a music contest: 'Jugend Musiziert',1143,only 25 were <12 years of age,no,yes,no,NA,child questionnaire,no,yes,yes,no,no,no,group,unclear,yes: in paper table 4
